epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.60396,0.7908,4.43612,0.99849,0.00167,0.5,0.00172,0.00155,0.61144,3.85603,0.96298,0,0,0
2,4.79771,0.66169,4.53631,1.02868,0.00167,0.5,0.00178,0.0016,0.58719,3.84923,0.9522,1.802e-05,1.802e-05,1.802e-05
3,6.60438,0.76527,4.63652,1.08986,0.00333,1,0.00333,0.00177,0.57152,3.81484,0.92715,3.208e-05,3.208e-05,3.208e-05
4,8.52115,0.80652,4.80004,0.81031,0.00333,1,0.00423,0.00189,0.56238,3.8097,0.8998,4.218e-05,4.218e-05,4.218e-05
5,10.1846,0.41361,4.1662,1.05862,0.00333,1,0.00534,0.00352,0.5302,3.80915,0.87515,4.832e-05,4.832e-05,4.832e-05
6,11.9784,0.40122,4.06819,0.82971,0.00333,1,0.01458,0.00488,0.52248,3.80129,0.85821,5.05e-05,5.05e-05,5.05e-05
7,13.6895,0.5291,3.61904,0.91315,0.00333,1,0.01992,0.00616,0.50976,3.78892,0.84686,4.872e-05,4.872e-05,4.872e-05
8,15.5406,1.14341,3.95888,1.27804,0.00333,1,0.04628,0.00767,0.5113,3.79634,0.84377,4.298e-05,4.298e-05,4.298e-05
9,17.3887,0.36108,3.53688,0.90289,0.00333,1,0.07654,0.01968,0.56887,3.73682,0.85063,3.328e-05,3.328e-05,3.328e-05
10,19.3727,0.29387,3.42488,0.80533,0.00333,1,0.53071,0.08482,0.578,3.70694,0.85072,1.962e-05,1.962e-05,1.962e-05
